序号,关联条目,文档标题,发文机关,文号,发布日期,出处链接,原文关键条款(逐字摘录),备注
28,残疾人两项补贴与辅具,广州市残疾人两项补贴2025年发放情况和2026年发放标准,广州市民政局,（依据粤财社〔2026〕19号）,2026-02-26,https://www.gz.gov.cn/zwgk/zdly/mzxx/shjzyfl/shfl/content/post_10698578.html,2025年1月起，全市困难残疾人生活补贴和重度残疾人护理补贴标准分别为每人每月209元、280元。……根据《广东省财政厅 广东省民政厅 广东省残疾人联合会关于2026年提高我省残疾人两项补贴标准的通知》（粤财社〔2026〕19号）要求，2026年1月起，全市困难残疾人生活补贴和重度残疾人护理补贴标准分别提高至每人每月217元、290元。,"标准依据文件(2026-02-26市民政局);对象/受理/衔接另见《广州市困难残疾人生活补贴和重度残疾人护理补贴实施办法》(增城区政府门户转载 zengcheng.gov.cn/zfxxgkml/qmzj/qt/content/post_8669344.html):生活补贴=低保低收家庭持证残疾人或一二级重度及非重度智精残且前12个月月均收入低于标准;护理补贴=一二级重度及非重度智精残(残疾军人警察一至四级);受理=镇街窗口+粤省事小程序/广东政务服务网,外地户籍推送属地办理;辅具另见市残联《广州市残疾人辅助器具适配补贴办法》https://www.gz.gov.cn/gfxwj/sbmgfxwj/gzscjrlhh/content/post_5487929.html:定点康复机构适配评估,每年≤2件(套),0-6岁儿童可持病历申请"
29,特困人员救助供养,广州市人民政府办公厅关于进一步加强特困人员救助供养工作的通知,广州市人民政府办公厅,穗府办规〔2021〕7号,2021-04-16,https://www.gz.gov.cn/gfxwj/szfgfxwj/gzsrmzfbgt/content/post_7231742.html,本市特困人员认定条件按国家、省有关规定实施，特困人员经济状况核对标准参照本市最低生活保障家庭标准执行。……特困人员基本生活标准按本市最低生活保障标准的1.6倍，且不低于所在区现行特困人员基本生活标准确定。……供养服务机构每月按照不低于特困人员基本生活供养金20%的标准向特困人员发放零用钱。……区民政部门应在特困人员签订供养意愿书之日起1个月内，为有集中供养意愿的特困人员落实集中供养服务。,"制度依据文件(页面标失效2023-06-01);现行特困标准以穗民规字〔2025〕2号为准=低保1.6倍=2094.4元/月;生活自理能力评估参照广州市老年人照顾需求评估:能力完好=全自理,轻度/中度失能=半自理,重度失能=全护理;一二级智精残=全护理,三级=半自理"
30,临时救助与突发困难,广州市人民政府办公厅关于印发广州市临时救助实施细则的通知,广州市人民政府办公厅,穗府办规〔2021〕19号,2021-12-06,https://www.gz.gov.cn/gfxwj/szfgfxwj/gzsrmzfbgt/content/post_7960479.html,本实施细则所称临时救助，是指国家对遭遇突发事件、意外伤害、重大疾病，受传染病疫情等突发公共卫生事件影响或其他特殊原因导致基本生活暂时陷入困境，其他社会救助制度暂时无法覆盖或救助之后基本生活暂时仍有严重困难的家庭或个人给予的应急性、过渡性的救助。……申请支出型临时救助的事由应发生在申请日前12个月内。……申请急难型临时救助的事由应发生在申请日前1个月内……凡认为符合临时救助条件的城乡居民可向户籍所在地或经常居住地镇人民政府（街道办事处）提出申请。……救助金额=家庭人数×本市每月最低生活保障标准×救助月数。……支出型临时救助标准原则上人均不超过本市12个月最低生活保障标准；其中本市特困人员住院照料临时救助标准不超过240元/人/日，其他申请人住院照料临时救助标准不超过120元/人/日。……急难型临时救助标准原则上人均不超过本市3个月最低生活保障标准。……同一家庭在1个自然年度内临时救助金额累计最高不得超过5万元。……批准给予临时救助的，应尽快发放救助金额，原则上不得超过30天（自批准之日起计算）。,"主依据文件;2021-12-06印发施行,有效期5年(至2026-12-06);在穗港澳台居民可向经常居住地或困难发生地镇街申请;支出型需申请日前12个月内教育/医疗/住院照料支出凭据,急难型需申请日前1个月内定点医疗机构疾病诊断书;先行急难救助可先救助后补手续,人均≤2个月低保"
31,长者饭堂与助餐服务,广州市老年人助餐配餐服务管理办法,广州市民政局、广州市财政局、广州市市场监督管理局,穗民规字〔2024〕3号,2024-03-14,http://www.thnet.gov.cn/gzthczgz/gkmlpt/content/9/9914/post_9914521.html,本办法所称老年人助餐配餐服务，是指以长者饭堂为主要依托，为在本市行政区域内居住的60周岁及以上居家老年人提供制餐、配餐、分餐、就餐、送餐等服务的活动。……在本市行政区域内居住的60周岁及以上的户籍居家老年人接受助餐配餐服务可享受就餐补贴。补贴标准为每人每次就餐费用的四分之一，最高不超过3元。就餐补贴在老年人给付就餐费用时自动扣减。……长者饭堂运营机构为老年人照护需求等级1-5级的本市户籍老年人提供送餐服务可享受送餐补贴，其中，老年人照护需求等级1-2级补贴标准为每人每次2元，3-5级补贴标准为每人每次4元。……长者饭堂运营机构按符合条件的实际就餐人次享受运营补贴，补贴标准为采取自主供给服务模式运营的长者饭堂每人每次3元，其他服务模式运营的每人每次1.5元。……老年人可使用社会保障卡或老年优待卡刷卡就餐。,"主依据文件(市级办法,天河区政府信息公开规章库转载);2024-04-01起实施,有效期5年;依据穗府办规〔2022〕13号;对象=居住本市60周岁及以上居家老年人;申请=广州市为老服务综合平台线上+镇街线下,本市户籍老年人3个工作日内确认就餐补贴资格,送餐补贴资格在评估结果出具后3个工作日内确认;补贴午餐晚餐每餐计1次;持一二级残疾人证重度残疾人直接认定照护3-5级;食堂须≥30㎡食品处理区+≥25㎡就餐区,容纳10名以上老人同时就餐"
32,居家养老与颐康站服务,广州市居家社区养老服务管理办法,广州市人民政府办公厅,穗府办规〔2022〕13号,2022-09-16,https://www.gz.gov.cn/zwgk/fggw/sfbgtwj/content/post_8571313.html,本办法所称居家社区养老服务对象，是指居住在本市行政区域内有需求的60周岁及以上居家老年人。入住养老机构的老年人不纳入居家社区养老服务对象范围。……每个街道、镇应当单独设置至少1个街镇级综合养老服务中心（颐康中心），每处建筑面积原则上不少于1000平方米，并应当具备全托、日托、上门服务、对下指导、统筹调配资源等功能。……每个社区、行政村应当设置至少1个村居颐康服务站，每处建筑面积原则上不少于200平方米，并应当具备日间照料、上门服务、助餐配餐、文体康乐等功能。……第一类资助对象每人每月400元，第二类资助对象每人每月200元。经评估为重度失能的，每人每月增加护理资助200元。……经济困难老年人包括经家庭经济状况核对，家庭成员人均月收入低于本市最低生活保障标准的2.5倍的老年人。,"主依据文件;2022-09-13印发施行,有效期5年;对象=居住本市有需求的60周岁及以上居家老年人,入住养老机构不纳入;设施:每区≥1个区级综合养老中心(≥1000㎡)、每街镇≥1个颐康中心(≥1000㎡,全托/日托/上门)、每社区/村≥1个颐康服务站(≥200㎡,日间照料/上门/助餐/文体);申请=市为老服务综合信息平台线上或街镇政务服务中心/颐康中心/颐康站线下;资助:第一类400元/月(分散供养特困、低保低收优抚失能/独居、劳模失能、100周岁+、计生特殊家庭),第二类200元/月(经济困难且失能失智:80周岁+或纯老家庭),重度失能另加200元护理资助,就高享受;资助不发现金当月用毕不滚存;经济困难=家庭人均月收入<低保标准2.5倍;人户分离由居住地机构服务;咨询020-12345"
33,长期护理保险（长护险）,广州市长期护理保险试行办法,广州市医疗保障局、市财政局、市民政局、市卫生健康委,穗医保规字〔2024〕1号,2024-01-03,https://www.gz.gov.cn/zwgk/gzsrmzfgbn/2024/5/content/post_10640507.html,本市职工社会医疗保险参保人员、年满18周岁的城乡居民社会医疗保险参保人员，在参加我市社会医疗保险的同时参加长护险，由医保经办机构为其建立长护险参保关系。……享受长护险1～3级待遇的人员（以下简称长期失能人员），需经医疗机构或康复机构规范诊疗、失能状态持续6个月以上，且经本市老年人照护需求综合评估或参照本市老年人照护需求综合评估符合条件的。……职工参保人员由长护险基金按机构护理75%、居家护理90%的比例支付；居民参保人员由长护险基金按机构护理70%、居家护理85%的比例支付。……长期失能人员的失能评估费用纳入支付范围的费用标准为每人每次200元……经评估后对应享受长护险2～3级待遇的由长护险基金按100%的比例支付。,"主依据文件;2024-01-03印发,有效期3年(至2027-01-02);依据医保发〔2020〕37号国家试点;参保=职工医保+年满18周岁居民医保同步;缴费:职工单位0.15%+个人按年龄(未满35不缴、35-45为0.02%、45至退休0.08%、退休0.12%),居民个人+财政各0.15%;长期失能=失能持续6个月以上+照护需求综合评估;延续失能=年满60周岁+规定病种住院稳定后出院+延续护理评估(待遇1-3个月/年≤2次);服务=机构护理/居家护理(A类3级每日上门、B类2级职工月≥12次28小时、C类1级月≥4次8小时);支付:职工机构75%/居家90%,居民机构70%/居家85%;3级限额:机构护理职工120元/日(床位费≤35)、居家105元/日,居民机构60/居家50;医疗护理基金月限职工1000元/居民500元;设备使用费职工月≤300元;失能评估200元/次(2-3级基金100%、1级各50%、其他自付);咨询020-12345"
34,老年优待卡（乘车公园）,广州市老年人优待办法,广州市人民政府（市政府令）,广州市人民政府令第179号,2021-01-29,https://www.gz.gov.cn/zwgk/fggw/wyzzc/content/post_8300620.html,年满60周岁，具有本市户籍或者持有本市有效居住证件的公民，享受本办法规定的优待。……年满60周岁不满65周岁的老年人持本市老年人优待凭证乘坐市内线路公共汽（电）车、过江轮渡、水上巴士和城市轨道交通，享受半价优惠。65周岁以上老年人持本市老年人优待凭证免费享受前款优待。……自本办法实施之日起申领、补办的本市老年人优待凭证设置2年有效期。……符合本办法规定的老年人可以通过户籍所在地或者居住地的街（镇）政务服务中心或者网络服务平台，向区老龄工作机构申领本市老年人优待凭证。区老龄工作机构初核后，报市老龄工作机构统一核准制发。,"主依据文件(市政府令第179号,2021-05-01施行);对象=年满60周岁本市户籍或持有效居住证公民;乘车:60-64半价/65+免费(市内公交、过江轮渡、水上巴士、城市轨道);公立医院普通门诊诊查费自费部分减收1元;市属收费公园和文化场馆60-64半票/65+免费;白云山60+半价或全免(须先持卡+身份证到门岗激活,65+可直接刷卡);申领可提前2个月:线下街(镇)政务服务中心,线上""穗好办""APP搜""广州市老年人优待卡的核发""(审核通过后15个工作日制发);材料=身份证+近三个月一寸白底照(外埠加居住证,港澳台加港澳台居民居住证);2年有效期届满前1个月内到街镇政务服务中心/羊城通客服网点续期不换卡;咨询羊城通400-844-0001/市老龄办020-62839996"
35,人才引进入户广州,广州市引进人才入户管理办法,广州市人民政府办公厅,穗府办规〔2020〕10号,2020-06-29,https://www.gz.gov.cn/gfxwj/szfgfxwj/gzsrmzfbgt/content/post_6454313.html,（二）具有博士研究生学历，或具有博士学位，或具有高级职称的人员，年龄需在50周岁以下。（三）具有硕士研究生学历，或具有硕士学位的人员，年龄需在45周岁以下。（四）具有国内普通高校全日制大学本科学历并有学士学位，或具有国（境）外学士学位，或具有中级职称的人员，年龄需在40周岁以下。……符合第五条有关条件的引进人才，准予其配偶、未成年子女随本人同时迁入本市户籍。……在审核及办理户籍迁入本市过程中，相关职能部门不得收取任何费用。,"主依据文件(2020-06-29印发,有效期5年);学历门槛:博士50以下/硕士45以下/全日制本科+学士或国(境)外学士或中级职称40以下;技术技能人才:从事市引进技术技能人才职业目录内职业+获证后本市工作参保满半年(高级技师45/技师40/高级工35/紧缺工种40);配偶未成年子女随迁;不收取费用;虚假承诺取消资格5年+记个人信用记录;实施细则=穗人社规字〔2022〕2号(2022-07-07,有效期5年):在职人才全流程网办,15个工作日审核(特殊可延长10个)+5个工作日公示,核发电子入户信息卡后到公安机关落户;学历型指南(市人社局2026-05-18):智能审批快捷通道即时反馈,人工审核需上传身份证户口簿+学历学位证书及认证(学信网备案表/国境外留服认证书)+落户地址材料"
36,积分制入户广州,广州市积分制入户管理办法,广州市人民政府办公厅,穗府办规〔2025〕8号,2025-06-30,https://www.gz.gov.cn/zwgk/fggw/sfbgtwj/content/post_10343148.html,积分制入户人员应同时符合以下条件：（一）在本市合法稳定就业或创业；（二）年龄在45周岁以下；（三）持本市办理有效《广东省居住证》；（四）缴纳社会保险满4年；（五）按照《广州市积分制入户指标体系及分值表》计算总积分满150分；（六）近5年内未受过刑事处罚。……积分制入户申请人员按基础指标分值从高到低进行排名，分值相同时，按照在本市缴纳社会医疗保险时长排名；如再相同，按照在本市连续办理《广东省居住证》时长排名。……通过积分制入户的人员，其配偶、未成年子女可同时随迁入户本市。,"主依据文件(重新发布穗府办规〔2023〕1号,2025-07-04印发,有效期至2026-12-31);六项条件须同时满足;排名=基础指标(合法稳定住所+合法稳定就业+年龄)分值从高到低,再同比社保时长再比居住证时长;基础指标:居住证满1年8分、合法产权住所20分、租赁满1年5分最高20,五险每险种满1年2分+公积金2分,18-40周岁30分(40以上每增1岁少2分);加分:本科30/专科20/高中10、专利20分/项、急需工种10分、献血2分/次志愿每50小时2分、纳税、表彰等;减分:信用不良每宗减10、偷漏税每次减10、治安处罚每次减10;年度指标总量控制(2025年度1.6万个);另据市人社局《2025年度积分制入户工作热点13问》rsj.gz.gov.cn/zwdt/tzgg/content/post_10432658.html:申报2025-10-10至11-10,先在""广州市来穗人员积分制服务管理信息系统""核定积分,审核排名靠前到镇(街)受理窗口现场核验,公示后发放入户卡;配偶未成年子女随迁;不收费;咨询各镇(街)受理窗口"
37,个体工商户营业执照办理,中华人民共和国市场主体登记管理条例,国务院,国务院令第746号,2022-03-01,https://scjgj.gz.gov.cn/zcfg/xzfg/content/post_9745016.html,本条例所称市场主体，是指在中华人民共和国境内以营利为目的从事经营活动的下列自然人、法人及非法人组织：……（四）个体工商户。……市场主体应当依照本条例办理登记。未经登记，不得以市场主体名义从事经营活动。……申请办理市场主体登记，应当提交下列材料：（一）申请书；（二）申请人资格文件、自然人身份证明；（三）住所或者主要经营场所相关文件。……登记机关应当对申请材料进行形式审查。对申请材料齐全、符合法定形式的予以确认并当场登记。不能当场登记的，应当在3个工作日内予以登记；情形复杂的，经登记机关负责人批准，可以再延长3个工作日。……营业执照签发日期为市场主体的成立日期。……电子营业执照与纸质营业执照具有同等法律效力。,"主依据文件(国务院令第746号,2022-03-01施行,市监局官网转载);第二条(四)个体工商户属市场主体;第三条未经登记不得以市场主体名义经营;第八条个体户登记事项=名称/经营范围/经营场所/经营者姓名住所等;第十一条电子商务平台内自然人经营者可用平台网络经营场所作经营场所;第十四条经营范围含登记前须批准的许可项目应提交批准文件;第十六条材料=申请书+身份证明+住所经营场所文件;第十九条当场登记/3个工作日/复杂再延3个工作日,不齐全一次性告知;第二十一条执照签发日=成立日期;第二十二条电子执照与纸质同等效力;第三十五条年度报告公示;第三十七条执照置于醒目位置不得伪造涂改出租出借转让;第四十三条未经登记经营责令改正没收违法所得,拒不改正罚1万-10万;广州渠道=广州市开办企业一网通平台scjgj.gz.gov.cn/ywt/实行""一网通办、一窗通取"",部分区AI帮办最快当日;登记不收费"
